Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
Peter S. Beagle, A Fine and Private Place|So I had something to do, something I'd done, someplace to go, and something to look forward to. That's a reasonable way to live. I enjoyed myself living. I had a good time. How much else can you ask for?""A lot more," Laura said softly, "if you're greedy. I was greedy once.""So was I, but that was a long time ago. You're greediest when you're born, and after that it's downhill all the way. Live to be two hundred and you wouldn't demand anything.
Craig Groeschel, Weird: Because Normal Isn't Working|Instead of drifting away from God, you'll be firmly anchored, able to swim against the tide, offering living water to all you meet.
Carrie Brownstein, Hunger Makes Me a Modern Girl|Nostalgia is so certain: the sense of familiarity it instills makes us feel like we know ourselves, like we've lived. To get a sense that we have already journeyed through something - survived it, experienced it - is often so much easier and less messy than the task of currently living through something.
S.R. Crawford, From My Suffering: 25 Ways to Break the Chains of Anxiety, Depression & Stress|For people like us, looking towards the future can feel daunting. It can literally make us feel sick to the stomach and often induces panic attacks. Trust me, I’ve been there; I get it. That’s why the far-future should never be at the top of our “to-plan” list. It’s alright to have goals but to stress ourselves out with plans and options and worries of the future is a good way to drive us crazy. However, there is one time when I want you to consider the future. Always have something to look forward to.
S.R. Crawford, From My Suffering: 25 Ways to Break the Chains of Anxiety, Depression & Stress|Less thinking, more living.
Christina Engela, Space Vacation|He’s dying!’ Doctor Cove, one of the ship’s two medical officers told me, looking at his med-scanner as he kneeled at the broken body of the only living Corsair on the black ship. I remember the look on his face as he told me – which seemed more to be puzzlement than actual concern. The man was a Corsair after all, and had injuries I could see, but he was conscious, and none of them looked fatal. But then, I’m no doctor. I never was any good at healing anything – and my job was doing the opposite, and I admit I’m pretty good at it. Always have been.
Alexandra Kleeman, You Too Can Have a Body Like Mine|There was no better way to live, or worse. It was all terrible, and you had to do it constantly,
Ernest Agyemang Yeboah|So many people die though they live, and it is not as if they don’t have life; they only refuse to keep breathing!
Mouloud Benzadi|Don't grieve over the past, It's all gone!Don't worry about the future, It may never come! Live in the present, And enjoy every moment
Marlon James, A Brief History of Seven Killings|My mother sings One day at a time sweet Jesus, and even Daddy likes to say that, one day at a time, as if it's some strategy for living. And yet the quickest way to not live at all is to take life one day at a time.
Erik Pevernagie|We want life to make sense. If we don’t find meaning and orientation, we are bound to fabulate a living and invent an inspiring life story. When we write out a chosen script, we’ll have to make time to hunker down into attuning it to the hitches of the road map, time and again, with fractious patience. ( "Everybody his story" )
A.L. Prusick|It maybe that we have all lived before and died, and this is hell.
Laure Eve, The Graces|That night I think we were trying to fight against death, against boredom and banality, against everything that made us cry and stare at our futures full in the face with dread. We drank and played games to be in the now, to be in each moment as hard as we could, because the moment was all that mattered, at the end of it all. I remember I felt intoxicated on life and darkness. I felt powerful. It was the most natural thing in the world. This was why we were alive– to be powerful and free.
