Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
David Levithan, The Twelve Days of Dash and Lily|But I don't like it, okay? I don't like how everything is changing. It's like when you're a kid, you think that things like the holidays are meant to show you how things always stay the same, how you have the same celebration year after year, and that's why it's so special. But the older you get, the more you realize that, yes, there are all these things that link you to the past, and you're using the same words and singing the same songs that have always been there for you, but each time, things have shifted, and you have to deal with that shift. Because maybe you don't notice it every single day. Maybe it's only on days like today that you notice it a lot. And I know I'm supposed to be able to deal with that, but I'm not sure I can deal with that.--David Levithan (p. 201 in galley)
Kim Stanley Robinson, The Years of Rice and Salt|Nothing was ever normal again.Many lives change like that -- all of a sudden, and forever.
Unknown|If elections could change anything, they would have already made them forbidden.
Philip Yancey, What's So Amazing About Grace?|Change came from below, as it usually does, rather than being imposed from above.
Gift Gugu Mona|Since we aim for a healthy life for all, we should teach young girls that their worth can't be validated by dating older rich men, because that is risky for their health. Until we change certain perceptions in society, we will keep fighting the same battles.
Ernest Agyemang Yeboah|Your thought determines your mood and to a great extent, your mood determines your thought, though sometimes it is hard to determine someone’s thought by the mood of the person! When the mind changes, something change! When the mind changes, the face changes! Change your mind and see!
Kim Holden, So Much More|the person you’ve always wanted to be. Some days your heart will be in it, and some days you’ll fake it, but eventually it will become a habit and without thinking about it, you will be changed anew. A new attitude. A new outlook. A new perspective. The human mind is a wonderful thing to grant us that kind of change.
Andrew Wommack, A Better Way to Pray|As you spend time with the King of kings and the Lord of lords, His attitude becomes your attitude.
Paul Gibbons, Reboot Your Career: A Blueprint for Finding Your Calling, Marketing Yourself, and Landing Great Gigs|Change is the part of the very definition of life. The world changes, and flourishing demands constant growth and life-long learning.
Farshad Asl|You only can get out of your challenges by changing yourself. Change comes from within...A greater passion, a greater commitment and a greater life. You can begin today.
Craig Groeschel, Weird: Because Normal Isn't Working|Face your fears by remembering the power of God's cleaning truth. To change the way you are, change the way you think.
Chuck Wendig, Invasive|We’re here to change the world, not participate in its tedium.
C.M. Stunich, Bad Nanny|It means something, but it doesn't change anything.
Andrew Wommack, A Better Way to Pray|Eternal life truly begins the moment you’re born again. It’s a present tense—not future tense—reality. If you’re a believer, eternal life is now!
Samuel Johnson|Our minds, like our bodies, are in continual flux; something is hourly lost, and something acquired.
Toni Sorenson, The Great Brain Cleanse|If we understand how the brain works, we can understand how to work it.
Kilroy J. Oldster, Dead Toad Scrolls|Enlightenment – whether defined as spiritual awakening, liberation, or other form of illumination and attentiveness – requires inner transformation brokered by study of our limitations and application of a welcoming spirit of conscious appreciation. Self-knowledge commences by looking for the sacred light of awareness essential to spawn profound change in a person’s character.
John Corey Whaley, Noggin|That's the thing. You come back and you expect everyone to be just the way they were when you left. But it's not that easy, okay? You can't just force us all to be how you liked us.
