Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Swami Dhyan Giten|The Art of Living is to be yourself. It is to be true to yourself. The Art of Living is learning to live with love, awareness and truth. Meditation is the way to learn The Art of Living. Being is you. To discover your being is the beginning of life.You can live in two ways:1. Ego - effort and desire and 2.Being - no-effort, being in a let go with existence. Religion is The Art of Living.Five keys to The Art of Living: 1. Be life-affirmative. Life is synonymous with God.Live with reverence, great respect and gratitude for life. Feel thankful and prayerful. 2. Make life an heartful, aesthetic experience.Become more sensitive, sensuous and creative - and you will become more spiritual.3.Experience life in all possible ways.Experience all dualities and polarities of life: good/bad, bitter/sweet, summer/winter, happiness/sadness and life/death.Do not be afraid of experience, because the more experiences you have, the more spiritually mature you become. 4. Live in the present.Forget the past and the future - this moment is the only reality.This moment has to become your whole love, life and death.5.Live courageously.Do not become too result-oriented, because result-oriented people miss life. Do not think of goals, because goals are in the future - and life is in the moment, in the here and now.
Debasish Mridha|Stress is a thought, a perception of fear, it will melt away if welet our thoughts change with courage.
Seneca, Seneca: Das große Buch vom glücklichen Leben - Gesammelte Werke|There is nothing in the world so much admired as a man who knows how to bear unhappiness with courage."— Seneca
Fatema Mernissi|When you are in trouble, you need to put all your energies into thinking that there is a way out. Then, the bottom, the dark hole, becomes just a springboard from which you can leap so high that your head might hit a cloud.
V.C. Andrews, Pearl in the Mist|Sometimes doing the right thing does take more courage, but the feeling it gives you deep inside makes it worth it.
Gary   Hopkins|I have met many Masters and most have an abundance of flaws and social failings. However, the one thing that separates them from the rest of us is their fearless ability to walk their own path regardless of the opinions of others.
Gary Rohrmayer, Next Steps For Leading a Missional Church|Missional leaders not only feel the burden of God's mission but they also act on the burden and act upon it sacrificially. Leading a missional church is not for the faint of heart. It takes courage to push yourself beyond your comfort zone and to lead the church beyond it personal limits. Brokenness, inner turmoil and sacrifice will always be part of the missional leader's life.
Israelmore Ayivor, Leaders' Watchwords|Lack of courage is what makes big dreams to sit in the ink of the paper instead of them running in the shoes of actions. Without courage, you remain a dreamer!
|A life without integrity, faith, courage and a positive purpose, is an unnecessary gamble with no positive possibility.
Israelmore Ayivor, Leaders' Watchwords|God gave us the access, but we need to exercise courage to have it. No one lacks the access, but it’s only few that have the courage to grab it!
Paulo Coelho, The Alchemist|i had to test your courage,” the stranger said.“courage is the quality most essential to understand the Language of the World.”..“you must not let up, even after having come so far,” he continued. “you must love the desert, but never trust it completely. because the desert tests all men: it challenges every step, and kills those who become distracted.
G.A. Henty|Our long wanderings have made a man out of him, too. They have not only strengthened his frame and hardened his constitution, but they have given stability to his character. He is thoughtful and prudent, and his advice will always be valuable, while of his courage I have no doubt.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|Be thankful to those who refuse to help you, for they force you to summon upon your warrior within.
Shannon L. Alder|Settling is not a destination, rather a vacation rental staring at an endless sea that dares you to cross its waves.
Nikki Rowe|I stopped remembering the past and started visualising my future, the only thing left I could hold onto was hope; that the courage I have found along the way, is what will see me through.
Michael Oher, I Beat the Odds: From Homelessness, to The Blind Side, and Beyond|Courage is a hard thing to figure. You can have courage based on a dumb idea or mistake, but you're not supposed to question adults, or your coach or your teacher, because they make the rules. Maybe they know best, but maybe they don't. It all depends on who you are, where you come from. Didn't at least one of the six hundred guys think about giving up, and joining with the other side? I mean, valley of death that's pretty salty stuff. That's why courage it's tricky. Should you always do what others tell you to do? Sometimes you might not even know why you're doing something. I mean any fool can have courage. But honor, that's the real reason for you either do something or you don't. It's who you are and maybe who you want to be. If you die trying for something important, then you have both honor and courage, and that's pretty good. I think that's what the writer was saying, that you should hope for courage and try for honor. And maybe even pray that the people telling you what to do have some, too.
Tom Althouse, The Frowny Face Cow|When fear no longer takes hold, the possibilities are endless.
Nityananda Das, Divine Union|It takes great courage to accept the constant changes of the emotions within ourselves, and even more audacity to express them whenever they occur and without filter or delay.
|Always protect your heart with unconditional self-love, faith and courage.
