Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
Chidi Prosper Agbugba|when potential greatness meets with actual greatness, the future is inspired with hope.
Mohammed Sekouty|No need for miracles to do the impossible if we have beliefs,will and insistence
Mohammed Sekouty|People without a will are afraid of failure,and failure is afraid of people with a will
Tanya R. Liverman, In The Mirror: A Woman's Saga|When we can overcome our own personal battles, we can live confidently in situations we would have otherwise been too weak to handle.
Tanya R. Liverman|When a cycle in your life repeats, you should troubleshot where the glitch is. Find the glitch and you will find your purposed journey.
Mohammed Sekouty|Only winners have fans, No one care about losers
Vivian Amis, The Lotus - Realization of Oneness|Love is the only power that heals, connects and includes all.....not by force, but by grace.
Ernest Agyemang Yeboah|come on, you shouldn't continue to disturb your mind with everything. Avoid thinking about anything at all, leave something, keep something and think about something!
lauren klarfeld|If you cannot afford yourself any luxuries for the time being, at least offer yourself the one priceless luxury no one can take away from you – your time
Shah Asad Rizvi|Life is an affair of mystery; shared with companions of music, dance and poetry.
Adhish Mazumder|A man in his early prime contemplates on life, shattered by the distortions of society he gazes ahead in time. There were vows of happiness and fairy tale beginnings. Now there is nothing of that sort; now there is nothing that started the tales so bright. It's after all this while that he understands why fairy tales begin with 'once upon a time'...
Chinonye J. Chidolue|Challenges will come, but success is proof of challenges conquered and difficulties overcome.
Amit Kalantri|Don't wait, just sweat.
Matshona Dhliwayo|Believe in yourself, not in your critics.
lauren klarfeld|As any distance we take from things give us an outside perspective, so does taking a geographical distance—offering us a new vantage point over our lives.
Amit Kalantri|Fifty year old wealthy man resents twenty five year old middle class man, without recalling that 25 years back even he was a poor man.
Ernest Agyemang Yeboah|The real value of money is never the value of money but the value money can acquire. The real value of our lives is not just the value of our lives but, the distinctive value our lives can build in the end!
El Ca'Sophia M|The more we dig this world, the more prisoners we become
London Rae, The Cheating Wives Club: A thief in the night|Being in the shadows is no way to live, but sometimes its' the only way to find out who you are.
Matshona Dhliwayo|God gave you the sea, but you still have to fish for yourself.
Nelson Nshekanabo|If you are doing something good, never do it free
Matshona Dhliwayo|Believe in yourself, for the universe believes in you.
Ernest Agyemang Yeboah|a paradox; the best opportunities we want are the best opportunities we miss; the best opportunities we wanted, are the best opportunities we missed and the best opportunities we seek for stay far away from us. In the end, we only settle for any opportunity. Life!
Ernest Agyemang Yeboah|if you think you know all that somebody knows, you shall least know all that somebody knows. If you think you least know all that somebody knows, you shall really know all that somebody knows.
Alvin Conway, Sapientia: The 40 Principles of Wisdom|If nothing in life challenges us, we will remain unchallenged by life.
Ernest Agyemang Yeboah|We yearn for opportunities, we pray for opportunities and we seek for opportunities. The good news is that we meet opportunities. The bad news is that we miss the opportunities only to come to a later realization of missed opportunities.
Tisha Marie Payton, MHR, Live Self-Sufficiently: The 12 Step Living Guide|When you are in harmony with love and positivity, everything you want will be pushed in your direction and given to you.
Shah Asad Rizvi|Dance as the narration of a magical story; that recites on lips, illuminates imaginations and embraces the most sacred depths of souls.
Shah Asad Rizvi|Dance to inspire, dance to freedom, life is about experiences so dance and let yourself become free.
Shah Asad Rizvi|If you opened the dictionary and searched for the meaning of a Goddess, you would find the reflection of a dancing lady.
Shah Asad Rizvi|Transcend the terrestrial; surpass the celestial, from nature’s hands when you receive the sublime pleasures of dance.
Matshona Dhliwayo|If you listen to critics for too long, you will become deaf to success.
Colin Powell|Success is the result of perfection, hard work, learning from failure, loyalty, and persistence.
Ernest Agyemang Yeboah|if you cannot find the distinctive opportunities you want, you can create the distinctive opportunities you want but you can't find!
