Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
E.M. Forster, A Room with a View|George had turned at the sound of her arrival. For a moment he contemplated her, as one who had fallen out of heaven. He saw radiant joy in her face, he saw the flowers beat against her dress in blue waves. The bushes above them closed. He stepped quickly forward and kissed her.Before she could speak, almost before she could feel, a voice called 'Lucy! Lucy! Lucy!' The silence of life had been broken by Miss Bartlett, who stood brown against the view.
Dashiell Hammett, The Maltese Falcon|Brigid O'Shaughnessy: “I haven't lived a good life. I've been bad, worse than you could know.” Sam Spade “You know, that's good, because if you actually were as innocent as you pretend to be, we'd never get anywhere
Jess Michaels, Undeniable|No!" he cried and his face pinched with frustration and pain. "I don't want to hear more reasons why we shouldn't be together. No more confessions to explain why you want to run away from what we share." "Julian," she attempted to interrupt again, but he held up a trembling hand.His dark gaze held hers. "I have moved heaven and earth to bring you back to me. I refuse to let you leave again. You are mine and you shall be mine for the rest of my life. Not as my mistress, but as my wife. And if you don't say yes, I shall be forced to drag you into Hyde Park and make love to you in plain view of everyone. Then you will have to accept my proposal in order to save your reputation." His face softened. "I love you, Cecilia.
Julia Quinn, Just Like Heaven|Thank you,” she whispered, sending up a quick prayer for his continued recovery.“You’re welcome,” Marcus murmured.Honoria let out a little shriek of surprise, jumping back nearly a foot.“Sorry,” he said, but he was laughing.It was quite the loveliest sound Honoria had ever heard.“I wasn’t thanking you,” she said pertly.“I know.” He smiled
Elizabeth Berg, Dream When You're Feeling Blue|For all it's problems and difficulties, life is mostly a wonderful experience, and it is up to each person to make the most of each day. I hope you are successful in your life, but look to the heavens and the earth and especially to other people to find your real wealth. Wherever I am, wherever you go, know that my love goes with you.
Dee Tenorio, Undercover Lovers|Fine!' she snapped, the desperation to have him growing exponentially now. 'I missed you. Only you. No man could ever make me feel like you do. I'm ruined for all others. I renamed all my vibrators after you and none of them get me off like you can. Happy now?'His eyes glazed for a second. '*All* your vibrators?'-Convicted
Lisa Kleypas, Worth Any Price|No matter how strong our resolve, we eventually find ourselves enslaved by the compulsive preference for one particular woman. You’ve been caught, my friend. You may as well reconcile yourself to it.” Nick did not bother trying to deny it. “I was going to be so much smarter than you,” he muttered. Sir Ross grinned. “I prefer to think that intelligence has nothing to do with it. For if a man’s intellect is measured by his ability to remain untouched by love, I would be the greatest idiot alive.
Alice Hoffman, The River King|She knew it the way people say they know they are about to be hit by lightning, yet remain powerless to run, unable to avoid their fate. She panicked, as anyone might have when disparate parts of her life were about to crash into each other, certain to leave a path of anguish and debris. It was true that devotion could be lost as quickly as it was found, which was why some people insisted that love letters be written in ink. How easy it was for even the sweetest words to evaporate, only to be rewritten as impulse and infatuation might dictate. How unfortunate that love could not be taught or trained, like a seal or a dog. Instead it was a wolf on the prowl, with a mind of its own, and it made its own way, undeterred by the damage done. Love like this could turn honest people into liars and cheats, as it now did…
C.T. Todd|Crazy got nothin on us" Neesa
Andrea Seigel, Like the Red Panda|There's nothing essentially romantic about things like roses or jewelry. Romance starts as some blank concept, and then you just fill it in with objects so you have something to point to when you want to make it real.
Brenda Joyce, The Stolen Bride|She tugged warningly on his shirt. "I am serious! Are you going to marry me, Sean? Finally?"He smiled, and the light of his smile filled his eyes. "Damn it, Elle! Will you not let me take the lead? Ladies do not propose marriage!"~Sean O'Neill & Eleanor de Warenne
Dee Tenorio, Undercover Lovers|I'd make you my favorite jungle gym if you'd let me.'- Katrina, 'Convicted
Sabine Ferruci, Man Trouble|What if we have a child together?"His jaw dropped. "That won't happen. I don't need more kids.""What if I do?""Then you'd better find yourself another father for them.""Before, during, or after our marriage?"His lids dropped lower over his azure gaze, "I don't know if I've ever met anyone who can jump-start my asshole gene like you do.
Nancy B. Brewer|{Summertime she speaks of winter, she eats ham, but speaks of beef, got a good man but, flirts with another. She might as well go to hell, cause she ain't gonna be happy in heaven either!}
Shawn Kirsten Maravel, Volition|So, how is it that you don’t have a girlfriend?” I asked boldly.Joel shrugged.“Have you ever had a girlfriend?” There was no way that he’d never had a girlfriend.He shrugged again.“You’re not serious.”“You’re surprised?”“I’m sorry, do you own a mirror?”Joel laughed in that I’ll-never-understand-women kind of way. “I’ve never wanted one,” he admitted, though it seemed that there was more to it.“What? A mirror? Or a girlfriend?”He laughed again, even harder this time. “A girlfriend.”“Are you gay?” He smiled. “No, I’m not gay.”“Oh.” I blushed. Why was I being so nosy all of a sudden?
Miranda Neville, The Amorous Education of Celia Seaton|My darling love, I think you have a fundamental misconception about what it means to be a great dandy. I have better taste than anyone else so I don't care what anyone else thinks about anything. I am right and they are wrong.
