Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
Ernest Agyemang Yeboah|Definitely, some will doubt you, but don’t doubt yourself. Surely, some will hate your mission, but don’t hate your vision. Truly, some will envy your vision, but don’t change your vision. Surely, some will mock at your direction, but don’t neglect your focus. Surely, you shall meet obstacles, but learn to overcome all obstacles with wit. Frankly, some will say what they want to you, but say what is inspiring to yourself. Obviously, you shall meet fear, but learn to shake your fears. In fact, there shall be moment of drought, but learn to go with tenacity and an indomitable staying power. You may meet the rocks, but climb the rocks with fortitude to the apex, and you shall feel the fresh air! Truly, you shall hear so many things, but know what to listen to. Surely, some will misunderstand you, but learn to understand yourself. You may definitely have so many things to do, but mind what is more important and weightier. There is no great journey without issues, but learn to overcome all issues, and get to the end of the journey with distinctive footprints and a good sense of fulfillment. You were born for a purpose! Live it; achieve it! God is waiting for you at the finishing line; get there with a pleasant story for a glory!
Lara Casey, Cultivate: A Grace-Filled Guide to Growing an Intentional Life|She believed she couldn't, so God did.
Charlton Heston, In the Arena: An Autobiography|I can't change yesterday, but I can sure mess up today.
Lawrence Sankar, Beloved Hear My Heart|I am not too worried about the many changes in today's society, but I am rather overly concerned about societies refusal to change from it destructive path!
Mlungisi Simelane|If you don't discover your passions, purpose and power, then you will pursue the roles assigned by other people's scripts. You will lose the success and potential afforded by new opportunities if you don't know your own priorities and preferences. Your strength is in your uniqueness.If you lose yourself just to get along with others, then you have nothing original to offer this new year of progress and prosperity. Stay true to yourself. Where there is a vision, there is always a provision
Mlungisi Simelane|We can overcome our fears if we remember that life does not demand more than what it gives. We can't waste time and energy comparing what we've been given, because we must reserve that energy for unloading to our God- given potential. The gifts may not be the on the same dimension or degree but that's okay. It may not be on the same level as everyone else's, and that's okay because we are not called to compete. We are called to maximize the fullness of what God has uniquely entrusted to us. Run your own race, there are victories to be won
Mlungisi Simelane|God will open doors for you when He knows you are ready. Until then, keep sowing and dont grow weary. The time of your harvest is upon God's schedule. Be faithful, endure trials and one day you will wake up in the land of abundance. Dont give up on God as He wont give up on yo
Mlungisi Simelane|Dont ever let anybody throw you away. You are not junk. When God looks at you, He sees things that everybody else ignores. You are worth so much that it took Jesus to Calvary to salvage and reclaim you. You are a seed of greatness.. Wake up sleeping giant
Page Wisher, Land of Infinite Quests: The Quest Courier|My boy, many people know many things. But the things we think we know of others can only become what is known if the others choose to do the doing of making what we think we know known.
Lara Casey, Cultivate: A Grace-Filled Guide to Growing an Intentional Life|You don’t have to do it all. If unrushing your life feels overwhelming or impossible, consider that it is impossible for you. That’s why we need God. Where you can’t, He already has.
Lailah Gifty Akita|To learn, we must first listen.
Matshona Dhliwayo|If your thoughts are higher than your problems, you can fly above them.
Ace Antonio Hall, Lord of the Flies: Fitness for Writers|Inhale every blessing you can think of, and exhale all that is not. Like a fist that can always get tighter, you can always give more. It is essential that you know that in your heart, and you will survive this day as you have so many in the past. You can get through this. I believe in the power of you.
Suyog Ketkar, The Write Stride|Memories are interesting. Interesting because they are faded yet detailed, pictured yet difficult to decipher, yelling yet mute, beautiful yet dreadful, magical yet logical, and familiar yet new. We listen; we encounter; we observe; we do; we learn; and, we talk. Everything we do or experience becomes our memory. Indeed, memories are interesting.
Matshona Dhliwayo|Use fear to become braver, pain to become stronger, trials to become wiser, and misfortune to become better.
Matshona Dhliwayo|To strengthen the body’s muscles, exercise; the mind’s muscles, read; the heart’s muscle’s, laugh; and the soul’s muscles, love.
Donna Guillemette, The Path to My Heart|Until the fear of separation is faced there can be only a life of illusion, where nothing real can exist. Until this happens there can be no knowing the stillness of peace, which is to change, in the very near future, for all humanity. The illusion of separateness can not continue to exist.
Matshona Dhliwayo|If you rule the air, you are great; the waters, you are extraordinary; the lands, you are remarkable; but if you rule over yourself, you are remarkable.
Angela Vallely|One step at a time I know I will reach my destination of which I consider to be a happier, healthier way of living in mind body and soul.
Bandile M Matsenjwa|One thing that makes your confidence echoe over negativity is your patience, understanding, ambitions and trust me it makes your accomplishments astonishing
Brandi N. Jefferson-Motley, Your Soul's Navigational GPS|To have faith in God, you must also have faith in His timing....
Gift Gugu Mona|Never stop dreaming, wake up and chase your dreams.
Harrish Sairaman|When you are fulfilled within, big problems look small and when you have a vacuum within small problems look big!!!
Matshona Dhliwayo|Worry soils, even the purest mind.Envy poisons, even the purest heart.Greed sullies, even the purest soul.
Robert H. Schuller|Yes, you can be a dreamer and a doer too, if you will remove one word from your vocabulary : impossible.
Jessica Fechtor, Stir: My Broken Brain and the Meals That Brought Me Home|Meaning is not what happens, but what you do with what happens.
Mensah Oteh|To have extreme, laser-like focus, you must be willing to reject a lot of opportunities, even if they sound great.
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|Like Salvador Dali’s paintings of watches melting in the sand, time wanders at its own curious pace whenever you’re on vacation in a foreign country.
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|Barely halfway back, exhaustion sets in. What if I don’t make it? An edge of panic gets intercepted by a calmer inner voice: Look behind you.
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|Out here on the water, it’s a fine line between feeling in control and losing it altogether.
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|Instead of falling, I am dancing with the wind.
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|Producing obituaries is a way of creating a legacy to remember important people of our times and their contributions. No matter whose obituary it is, I look for something inspirational about each person.
Laurie Nadel, Dancing with the Wind: A True Story of Zen in the Art of Windsurfing|If there’s a takeaway from working here, it’s an understand that, as bioorganisms, we are a walking time bomb programed for cellular self-destruction. Not if, when.
