Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
C.S. Lewis, The Four Loves|When the two people who thus discover that they are on the same secret road are of different sexes, the friendship which arises between them will very easily pass – may pass in the first half hour – into erotic love. Indeed, unless they are physically repulsive to each other or unless one or both already loves elsewhere, it is almost certain to do so sooner or later. And conversely, erotic love may lead to Friendship between the lovers. But this, so far from obliterating the distinction between the two loves, puts it in a clearer light. If one who was first, in the deep and full sense, your Friend, is then gradually or suddenly revealed as also your lover you will certainly not want to share the Beloved’s erotic love with any third. But you will have no jealousy at all about sharing the Friendship. Nothing so enriches an erotic love as the discovery that the Beloved can deeply, truly and spontaneously enter into Friendship with the Friends you already had; to feel that not only are we two united by erotic love but we three or four or five are all travelers on the same quest, have all a common vision.
J.R.R. Tolkien, The Fellowship of the Ring|But it does not seem that I can trust anyone,' said Frodo.Sam looked at him unhappily. 'It all depends on what you want,' put in Merry. 'You can trust us to stick with you through thick and thin--to the bitter end. And you can trust us to keep any secret of yours--closer than you keep it yourself. But you cannot trust us to let you face trouble alone, and go off without a word. We are your friends, Frodo.
Kahlil Gibran, The Collected Works|Friendship is always a sweet responsibility, never an opportunity.
C.S. Lewis, The Weight of Glory|We live, in fact, in a world starved for solitude, silence, and private: and therefore starved for meditation and true friendship.
T.S. Eliot, Murder in the Cathedral|Unreal friendship may turn to real But real friendship, once ended, cannot be mended
Jim Butcher, White Night|There is a primal reassurance in being touched, in knowing that someone else, someone close to you, wants to be touching you. There is a bone-deep security that goes with the brush of a human hand, a silent, reflex-level affirmation that someone is near, that someone cares.
W. Somerset Maugham|When you choose your friends, don't be short-changed by choosing personality over character.
Marcus Tullius Cicero|Friendship improves happiness, and abates misery, by doubling our joys, and dividing our grief
Waqar Ahmed|Friendship is delicate as a glass, once broken it can be fixed but there will always be cracks
Kristin Cashore, Graceling|Skye kissed her forehead. "You saved my life."Katsa smiled. "You Lienid are very outward in your affection.""I'm going to name my firstborn child after you."Katsa laughed at that. "For the child's sake, wait for a girl. Or even better, wait until all your children are older and give my name to whichever is the most troublesome and obstinate."Skye burst into laughter and hugged her, and Katsa returned his embrace. And realized that quite without her intending it, her guarded heart had made another friend.
Mark Twain|It takes your enemy and your friend, working together, to hurt you to the heart: the one to slander you and the other to get the news to you.
Susanna Kaysen, Girl, Interrupted|Was I ever crazy? Maybe. Or maybe life is… Crazy isn’t being broken or swallowing a dark secret. It’s you or me amplified. If you ever told a lie and enjoyed it. If you ever wished you could be a child forever. They were not perfect, but they were my friends.
Ralph Waldo Emerson, Essays: First Series|When friendships are real, they are not glass threads or frost work, but the solidest things we can know.
Richard Bach, Illusions: The Adventures of a Reluctant Messiah|Don't be dismayed at good-byes. A farewell is necessary before you can meet again. And meeting again, after moments or lifetimes, is certain for those who are friends.
Vera Nazarian, The Perpetual Calendar of Inspiration|Friends are a strange, volatile, contradictory, yet sticky phenomenon. They are made, crafted, shaped, molded, created by focused effort and intent. And yet, true friendship, once recognized, in its essence is effortless.Best friends are formed by time.Everyone is someone's friend, even when they think they are all 
Kathryn Stockett, The Help|Once upon a time they was two girls," I say. "one girl had black skin, one girl had white."Mae Mobley look up at me. She listening."Little colored girl say to little white girl, 'How come your skin be so pale?' White girl say, 'I don't know. How come your skin be so black? What you think that mean?'"But neither one a them little girls knew. So little white girl say, 'Well, let's see. You got hair, I got hair.'"I gives Mae Mobley a little tousle on her head."Little colored girl say 'I got a nose, you got a nose.'"I gives her little snout a tweak. She got to reach up and do the same to me."Little white girl say, 'I got toes, you got toes.' And I do the little thing with her toes, but she can't get to mine cause I got my white work shoes on."'So we's the same. Just a different color', say that little colored girl. The little white girl she agreed and they was friends. The End."Baby Girl just look at me. Law, that was a sorry story if I ever heard one. Wasn't even no plot to it. But Mae Mobley, she smile and say, "Tell it again.
Oliver Wendell Holmes Sr.|Don't flatter yourself that friendship authorizes you to say disagreeable things to your intimates. The nearer you come into relation with a person, the more necessary do tact and courtesy become. Except in cases of necessity, which are rare, leave your friend to learn unpleasant things from his enemies; they are ready enough to tell them.
Ilona Andrews, Magic Slays|Andrea raised her hand. “This is the hand that slapped Aunt B.”“Maybe you should have it gold-plated.”“Here, you can touch it, since you’re my best friend.
